,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,29 June 2024,12:40,40.213 km/h,2.UWT,ME - Men Elite,206 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,176,3821,Firenze,Rimini,1,1723,Other,30 °C
1,30 June 2024,12:35,42.129 km/h,2.UWT,ME - Men Elite,199.2 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,109,1859,Cesenatico,Bologna,1,1723,14.3 km solo,31 °C
2,01 July 2024,11:35,42.375 km/h,2.UWT,ME - Men Elite,230.8 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,16,1190,Piacenza,Torino,1,1723,Sprint of small group,26 °C
3,02 July 2024,13:15,36.958 km/h,2.UWT,ME - Men Elite,139.6 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,187,3904,Pinerolo,Valloire,1,1723,19.3 km solo,18 °C
4,03 July 2024,13:30,42.787 km/h,2.UWT,ME - Men Elite,177.4 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,25,1126,Saint-Jean-de-Maurienne,Saint Vulbas,1,1723,Sprint of large group,20 °C
5,04 July 2024,13:50,46.292 km/h,2.UWT,ME - Men Elite,163.5 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,7,881,Mâcon,Dijon,1,1723,Sprint of large group,22 °C
6,06 July 2024,13:20,44.945 km/h,2.UWT,ME - Men Elite,183.4 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,63,2334,Semur-en-Auxois,Colombey-les-Deux-Eglises,1,1723,Sprint of large group,16 °C
7,07 July 2024,13:35,45.973 km/h,2.UWT,ME - Men Elite,199 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,30,2012,Troyes,Troyes,1,1723,Sprint of 6 riders,22 °C
8,09 July 2024,13:25,43.206 km/h,2.UWT,ME - Men Elite,187.3 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,6,888,Orléans,Saint-Amand-Montrond,1,1723,Sprint of large group,26 °C
9,10 July 2024,11:30,42.483 km/h,2.UWT,ME - Men Elite,211 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,241,4177,Évaux-les-Bains,Le Lioran,1,1723,Sprint à deux,21 °C
10,12 July 2024,13:50,48.821 km/h,2.UWT,ME - Men Elite,165.3 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,53,1884,Agen,Pau,1,1723,Sprint of 15 riders,22 °C
11,13 July 2024,13:20,37.685 km/h,2.UWT,ME - Men Elite,151.9 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,340,4050,Pau,Saint-Lary-Soulan Pla d'Adet,1,1723,4.6 km solo,16 °C
12,14 July 2024,12:05,37.787 km/h,2.UWT,ME - Men Elite,197.7 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,366,5071,Loudenvielle,Plateau de Beille,1,1723,5.4 km solo,27 °C
13,16 July 2024,13:30,45.003 km/h,2.UWT,ME - Men Elite,188.6 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,15,1176,Gruissan,Nîmes,1,1723,Sprint of large group,31 °C
14,17 July 2024,12:45,43.328 km/h,2.UWT,ME - Men Elite,177.8 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,177,3091,Saint-Paul-Trois-Châteaux,Superdévoluy,1,1723,13.3 km solo,27 °C
15,18 July 2024,13:20,43.023 km/h,2.UWT,ME - Men Elite,179.5 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,101,3123,Gap,Barcelonnette,1,1723,Sprint of 3 riders,30 °C
16,19 July 2024,12:30,35.55 km/h,2.UWT,ME - Men Elite,144.6 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,275,4512,Embrun,Isola 2000,1,1723,1.9 km solo,23 °C
17,20 July 2024,13:55,32.607 km/h,2.UWT,ME - Men Elite,132.8 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,380,4748,Nice,Col de la Couillole,1,1723,0.15 km solo,27 °C
18,01 July 2023,12:55,41.55 km/h,2.UWT,ME - Men Elite,182 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,166,3221,Bilbao,Bilbao,1,1584,0.35 km solo,23 °C
19,02 July 2023,12:25,43.726 km/h,2.UWT,ME - Men Elite,208.9 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,141,2949,Vitoria-Gasteiz,San Sébastián,1,1584,0.95 km solo,21 °C
20,03 July 2023,13:15,40.989 km/h,2.UWT,ME - Men Elite,193.5 km,GT.A.Stage,UCI.WR.GT.A.Stage,Na,68,2667,Amorebieta-Etxano,Bayonne,1,1584,Sprint of large group,23 °C
