,year,date,stage,vertical_meters,profile_score,ps_25
20,2003.0,26/07,Stage 19 (ITT) | Pornic - Nantes (49 km),395,12,10
21,2003.0,27/07,Stage 20 | Ville d'Avray - Paris (152 km),757,7,2
1,2004.0,03/07,Prologue | Liege - Liege (6.1 km),177,11,11
2,2004.0,04/07,Stage 1 | Liege - Charleroi (202.5 km),2864,68,14
3,2004.0,05/07,Stage 2 | Charleroi - Namur (197 km),1852,44,22
4,2004.0,06/07,Stage 3 | Waterloo - Wasquehal (210 km),1615,18,4
5,2004.0,07/07,Stage 4 (TTT) | Cambrai - Arras (64.5 km),653,11,3
6,2004.0,08/07,Stage 5 | Amiens - Chartres (200.5 km),2026,37,6
7,2004.0,09/07,Stage 6 | Bonneval - Angers (196 km),1398,19,4
8,2004.0,10/07,Stage 7 | Châteaubriant - Saint-Brieuc (204.5 km),2306,52,20
9,2004.0,11/07,Stage 8 | Lamballe - Quimper (168 km),2306,70,17
10,2004.0,13/07,Stage 9 | Saint-Léonard-de-Noblat  - Guéret (160.5 km),2000,96,19
11,2004.0,14/07,Stage 10 | Limoges - Saint-Flour (237 km),4500,258,24
12,2004.0,15/07,Stage 11 | Saint-Flour - Figeac (164 km),3248,175,41
13,2004.0,16/07,Stage 12 | Castelsarrasin - La Mongie (197.5 km),3867,344,195
14,2004.0,17/07,Stage 13 | Lannemezan - Plateau de Beille (205.5 km),5500,560,281
15,2004.0,18/07,Stage 14 | Carcassonne - Nîmes (192.5 km),1808,38,10
16,2004.0,20/07,Stage 15 | Valréas - Villard de Lans (180.5 km),4818,367,182
17,2004.0,21/07,Stage 16 (ITT) | Bourg d'Oisans - L'Alpe d'Huez (15.5 km),1384,249,249
18,2004.0,22/07,Stage 17 | Bourg d'Oisans - Le Grand Bornand (204.5 km),6000,505,166
19,2004.0,23/07,Stage 18 | Annemasse - Lons le Saunier (166.5 km),2500,167,19
20,2004.0,24/07,Stage 19 (ITT) | Besançon - Besançon (55 km),1042,89,53
21,2004.0,25/07,Stage 20 | Montereau - Paris (163 km),1453,25,9
1,2005.0,02/07,Stage 1 (ITT) | Fromentine - Noirmoutier-en-l'Ile (19 km),27,0,0
2,2005.0,03/07,Stage 2 | Challans - Les Essarts (182 km),432,1,0
3,2005.0,04/07,Stage 3 | La Châtaigneraie - Tours (212 km),1465,19,3
4,2005.0,05/07,Stage 4 (TTT) | Tours - Blois (67.5 km),355,7,7
5,2005.0,06/07,Stage 5 | Chambord - Montargis (183 km),1018,6,1
6,2005.0,07/07,Stage 6 | Troyes - Nancy (199 km),1750,41,25
7,2005.0,08/07,Stage 7 | Lunéville - Karlsruhe (228 km),1314,12,0
8,2005.0,09/07,Stage 8 | Pforzheim - Gérardmer (231 km),2493,100,51
9,2005.0,10/07,Stage 9 | Gérardmer - Mulhouse (171 km),2805,94,1
10,2005.0,12/07,Stage 10 | Brignoud - Courchevel - Altiport (181 km),4197,313,224
11,2005.0,13/07,Stage 11 | Courchevel - Briançon (173 km),4280,261,1
12,2005.0,14/07,Stage 12 | Briançon - Digne-les-Bains (187 km),3021,148,23
13,2005.0,15/07,Stage 13 | Miramas - Montpellier (174 km),1117,12,2
14,2005.0,16/07,Stage 14 | Agde - Ax-3 Domaines (174 km),4188,334,137
15,2005.0,17/07,Stage 15 | Lézat-sur-Leze - Saint-Lary-Soulan (Pla d'Adet) (206 km),5633,489,238
16,2005.0,19/07,Stage 16 | Mourenx - Pau (181 km),3560,150,25
17,2005.0,20/07,Stage 17 | Pau - Revel (240 km),2830,92,24
18,2005.0,21/07,Stage 18 | Albi - Mende (189 km),2947,157,101
19,2005.0,22/07,Stage 19 | Issoire - Le Puy en Velay (154 km),2344,66,2
20,2005.0,23/07,Stage 20 (ITT) | Saint-Etienne - Saint-Etienne (55 km),806,50,25
21,2005.0,24/07,Stage 21 | Corbeil-Essonnes - Paris (144 km),851,7,0
1,2006.0,01/07,Prologue | Strasbourg - Strasbourg (7.1 km),5,0,0
2,2006.0,02/07,Stage 1 | Strasbourg - Strasbourg (184.5 km),913,5,0
3,2006.0,03/07,Stage 2 | Obernai - Esch-sur-Alzette (228.5 km),2679,65,29
4,2006.0,04/07,Stage 3 | Esch-sur-Alzette - Valkenburg (216.5 km),2423,66,18
5,2006.0,05/07,Stage 4 | Huy - Saint-Quentin (207 km),1736,20,3
6,2006.0,06/07,Stage 5 | Beauvais - Caen (225 km),1595,22,0
7,2006.0,07/07,Stage 6 | Lisieux - Vitré (189 km),1378,18,5
8,2006.0,08/07,Stage 7 (ITT) | Saint-Grégoire - Rennes (52 km),389,1,0
9,2006.0,09/07,Stage 8 | Saint-Méen-le-Grand - Lorient (181 km),1465,17,1
10,2006.0,11/07,Stage 9 | Bordeaux - Dax (169.5 km),326,0,0
