,name,strava_id
0,HORRACH  Joan Sebastian,
0,HENDERSON  Gregory,
0,CUMMINGS  Steve,
0,FOUCHARD  Julien,
0,LARSSON  Gustav Erik,
0,GHYSELINCK  Jan,
0,HAEDO  Juan José,
0,MØRKØV  Michael,9695585
0,EDET  Nicolas,1621202
0,SIMON  Julien,2237545
0,VELITS  Martin,
0,KITTEL  Marcel,
0,KRIVTSOV  Yuriy,
0,DE GREEF  Francis,
0,MARINO  Jean-Marc,2273513
0,LEVARLET  Guillaume,
0,KRISTOFF  Alexander,9232885
0,VAN POPPEL  Danny,3436109
0,TRENTIN  Matteo,
0,VANMARCKE  Sep,
0,LAGUTIN  Sergey,
0,KWIATKOWSKI  Michał,1905161
0,BARDET  Romain,1630132
0,SMUKULIS  Gatis,
0,CLARKE  Simon,11460770
0,RODRÍGUEZ  Joaquim,
0,LOSADA  Alberto,
0,QUINTANA  Nairo,
0,BAKELANTS  Jan,3943249
0,GESCHKE  Simon,13872795
0,VAN POPPEL  Boy,
0,DUMOULIN  Tom,
0,SICARD  Romain,
0,GASPAROTTO  Enrico,
0,LÓPEZ  David,2971302
0,KENNAUGH  Peter,
0,NIEMIEC  Przemysław,
0,OROZ  Juan José,
0,ANTÓN  Igor,
0,MOLARD  Rudy,1759446
0,DIDIER  Laurent,
0,IZAGIRRE  Ion,
0,VUILLERMOZ  Alexis,1934385
0,VEILLEUX  David,
0,SERPA  José Rodolfo,
0,BOUHANNI  Nacer,
0,NIEVE  Mikel,
0,GENIEZ  Alexandre,
0,NORDHAUG  Lars Petter,
0,REZA  Kévin,3989143
0,DEGENKOLB  John,
0,TALANSKY  Andrew,
0,MÉDEREL  Maxime,
0,BAGOT  Yoann,
0,LEEZER  Tom,
0,BENNATI  Daniele,
0,MORENO  Daniel,
0,LOBATO  Juan José,
0,GAVAZZI  Francesco,21712783
0,BAUER  Jack,
0,MOSER  Moreno,
0,CASTROVIEJO  Jonathan,
0,BAZAYEV  Assan,
0,MEYER  Cameron,
0,MARANGONI  Alan,
0,DE MARCHI  Alessandro,9545283
0,DE CLERCQ  Bart,
0,STANNARD  Ian,
0,DENNIS  Rohan,
0,TUFT  Svein,
0,CIMOLAI  Davide,20904837
0,FERRARI  Roberto,
0,FAVILLI  Elia,
0,MORI  Manuele,
0,COUSIN  Jérôme,1789488
0,FISCHER  Murilo Antonio,
0,LUTSENKO  Alexey,19220743
0,GARCÍA  Egoitz,
0,LE MÉVEL  Christophe,
0,KING  Edward,
0,COQUARD  Bryan,7633523
0,V Oß Paul,
0,VAN AVERMAET  Greg,287820
0,ELMIGER  Martin,2613513
0,MACHADO  Tiago,
0,ACEVEDO  Janier,
0,KÖNIG  Leopold,
0,FONSECA  Armindo,
0,KANGERT  Tanel,
0,SLAGTER  Tom-Jelte,
0,BÁRTA  Jan,
0,HUZARSKI  Bartosz,
0,FRANK  Mathias,27185541
0,DÉMARE  Arnaud,1737657
0,YATES  Simon,278282
0,OLIVEIRA  Nelson,1366105
0,ATAPUMA  Darwin,
0,GASTAUER  Ben,
0,STETINA  Peter,3645709
0,RAST  Grégory,
0,HERRADA  Jesús,2592729
