,name,strava_id
0,KÄMNA  Lennard,27117126
0,DE PLUS  Laurens,4049155
0,HOULE  Hugo,288769
0,OURSELIN  Paul,1679361
0,WÜRTZ SCHMIDT  Mads,2109406
0,DE GENDT  Aimé,5052874
0,HAIG  Jack,283726
0,BYSTRØM  Sven Erik,2542098
0,MOHORIČ  Matej,4040441
0,VERONA  Carlos,1405137
0,WIŚNIOWSKI  Łukasz,3756850
0,PEDERSEN  Mads,30350488
0,VENTURINI  Clément,1932146
0,MEZGEC  Luka,3613487
0,POGAČAR  Tadej,6021015
0,SWIFT  Connor,863203
0,KOCH  Jonas,4067146
0,FORMOLO  Davide,1850959
0,CONSONNI  Simone,2824377
0,PEDERSEN  Casper,17999372
0,NIEUWENHUIS  Joris,2935665
0,RUSSO  Clément,2905866
0,GIBBONS  Ryan,12772912
0,KUSS  Sepp,254096
0,CARAPAZ  Richard,15104335
0,BARTHE  Cyril,12856902
0,VAN ASBROECK  Tom,387215
0,CHEVALIER  Maxime,31391746
0,HOFSTETTER  Hugo,10847439
0,PACHER  Quentin,1401877
0,PETERS  Nans,1662541
0,POWLESS  Neilson,1557033
0,NEILANDS  Krists,12243285
0,WALSCHEID  Max,2323575
0,ELISSONDE  Kenny,1387645
0,HIRT  Jan,591813
0,FRISON  Frederik,28107247
0,HERMANS  Ben,593390
0,MADOUAS  Valentin,2404608
0,HIRSCHI  Marc,4475615
0,BURGAUDEAU  Mathieu,12274525
0,NIV  Guy,4748635
0,CAVAGNA  Rémi,2203430
0,SIVAKOV  Pavel,1808024
0,CRAS  Steff,2195719
0,VINGEGAARD  Jonas,10495058
0,VAN DER POEL  Mathieu,559834
0,ARANBURU  Alex,7094043
0,VAN MOER  Brent,3855537
0,BOIVIN  Guillaume,616061
0,O'CONNOR  Ben,4097457
0,CATTANEO  Mattia,10887608
0,DONOVAN  Mark,1284150
0,BISSEGGER  Stefan,4671192
0,EEKHOFF  Nils,3745308
0,GUERREIRO  Ruben,2289445
0,PARET-PEINTRE  Aurélien,1821678
0,RICKAERT  Jonas,2738100
0,RUTSCH  Jonas,18722207
0,ARMIRAIL  Bruno,2192184
0,WALLAYS  Jelle,16345356
0,BONNAMOUR  Franck,4018952
0,DOUBEY  Fabien,8819545
0,RODRÍGUEZ  Cristián,9796680
0,VAN DER SANDE  Tosh,1750959
0,SCOTSON  Miles,37431444
0,WRIGHT  Fred,25495602
0,CABOT  Jérémy,1796710
0,CAMPENAERTS  Victor,620617
0,MCNULTY  Brandon,1126469
0,ARCAS  Jorge,2276607
0,ROTA  Lorenzo,5387245
0,GODON  Dorian,1809256
0,BJERG  Mikkel,9640608
0,MERLIER  Tim,5727288
0,SWEENY  Harry,743112
0,SBARAGLI  Kristian,2006007
0,ZIMMERMANN  Georg,5284986
0,SCHELLING  Ide,4056436
0,GOLDSTEIN  Omer,36281396
0,GANNA  Filippo,3574069
0,VLASOV  Aleksandr,19916624
0,VERMEERSCH  Florian,9421925
0,THOMAS  Benjamin,1700745
0,TUSVELD  Martijn,648928
0,JORGENSON  Matteo,557974
0,GOOSSENS  Kobe,4411135
0,BAGIOLI  Andrea,19593505
0,SIMMONS  Quinn,4375151
0,GENIETS  Kevin,13787818
0,LEKNESSUND  Andreas,5474979
0,DOULL  Owain,280368
0,DAINESE  Alberto,15121707
0,VAN DER HOORN  Taco,676750
0,HONORÉ  Mikkel Frølich,270912
0,VELASCO  Simone,522423
0,CAPIOT  Amaury,2613903
0,HAMILTON  Chris,2754904
0,VERMAERKE  Kevin,29140444
0,GRADEK  Kamil,2450702
0,BOUCHARD  Geoffrey,104028
0,LOUVEL  Matis,6860614
