,year,stage,name,team_name,timing
1,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JACKY DURAND,CASTORAMA,00H 09' 00''
2,1995,Prologue : Saint-Brieuc > Saint-Brieuc,THIERRY LAURENT,CASTORAMA,00H 09' 02''
3,1995,Prologue : Saint-Brieuc > Saint-Brieuc,FRANCIS MOREAU,GAN,00H 09' 03''
4,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LAURENT BROCHARD,FESTINA WATCHES,00H 09' 04''
5,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ARSENIO GONZALEZ,MAPEI-GB,00H 09' 04''
6,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ROLF ALDAG,TELECOM-ZG-SELLE ITALIA,00H 09' 05''
7,1995,Prologue : Saint-Brieuc > Saint-Brieuc,FRANKIE ANDREU,MOTOROLA,00H 09' 05''
8,1995,Prologue : Saint-Brieuc > Saint-Brieuc,GABRIELE COLOMBO,GEWISS-BALLAN,00H 09' 08''
9,1995,Prologue : Saint-Brieuc > Saint-Brieuc,STEPHEN SWART,MOTOROLA,00H 09' 08''
10,1995,Prologue : Saint-Brieuc > Saint-Brieuc,BRUNO THIBOUT,CASTORAMA,00H 09' 09''
11,1995,Prologue : Saint-Brieuc > Saint-Brieuc,YVON LEDANOIS,GAN,00H 09' 13''
12,1995,Prologue : Saint-Brieuc > Saint-Brieuc,VICENTE APARICIO VILA,BANESTO,00H 09' 13''
13,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MARIANO ROJAS,ONCE,00H 09' 15''
14,1995,Prologue : Saint-Brieuc > Saint-Brieuc,PASCAL LANCE,GAN,00H 09' 16''
15,1995,Prologue : Saint-Brieuc > Saint-Brieuc,NEIL STEPHENS,ONCE,00H 09' 16''
16,1995,Prologue : Saint-Brieuc > Saint-Brieuc,BRUNO BOSCARDIN,FESTINA WATCHES,00H 09' 18''
17,1995,Prologue : Saint-Brieuc > Saint-Brieuc,FRANCISCO JAVIER MAULEON,MAPEI-GB,00H 09' 18''
18,1995,Prologue : Saint-Brieuc > Saint-Brieuc,GIOVANNI FIDANZA,TEAM POLTI,00H 09' 18''
19,1995,Prologue : Saint-Brieuc > Saint-Brieuc,THIERRY MARIE,CASTORAMA,00H 09' 19''
20,1995,Prologue : Saint-Brieuc > Saint-Brieuc,EDDY BOUWMANS,NOVELL,00H 09' 21''
21,1995,Prologue : Saint-Brieuc > Saint-Brieuc,IVAN GOTTI,GEWISS-BALLAN,00H 09' 21''
22,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ARTURAS KASPUTIS,CHAZAL-MBK-KONIG,00H 09' 21''
23,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MELCHOR MAURI,ONCE,00H 09' 22''
24,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MARCO MILESI,BRESCIALAT,00H 09' 23''
25,1995,Prologue : Saint-Brieuc > Saint-Brieuc,CHRISTOPHE MENGIN,CHAZAL-MBK-KONIG,00H 09' 23''
26,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ALEX ZULLE,ONCE,00H 09' 23''
27,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ANDREA FERRIGATO,TELECOM-ZG-SELLE ITALIA,00H 09' 24''
28,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LAURENT JALABERT,ONCE,00H 09' 25''
29,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ANTONIO POLITANO,MERCATONE UNO-SAECO,00H 09' 26''
30,1995,Prologue : Saint-Brieuc > Saint-Brieuc,TONY ROMINGER,MAPEI-GB,00H 09' 26''
31,1995,Prologue : Saint-Brieuc > Saint-Brieuc,SERGUEI OUTSCHAKOV,TEAM POLTI,00H 09' 28''
32,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ROSSANO BRASI,TEAM POLTI,00H 09' 29''
33,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JOHAN BRUYNEEL,ONCE,00H 09' 29''
34,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ERIK BREUKINK,ONCE,00H 09' 30''
35,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MIGUEL INDURAIN,BANESTO,00H 09' 31''
36,1995,Prologue : Saint-Brieuc > Saint-Brieuc,GIUSEPPE CITTERIO,AKI-GIPIEMME,00H 09' 31''
37,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JOSÉ-RAMON URIARTE,BANESTO,00H 09' 31''
38,1995,Prologue : Saint-Brieuc > Saint-Brieuc,VJATCESLAV EKIMOV,NOVELL,00H 09' 32''
39,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ALESSANDRO BERTOLINI,CARRERA-TASSONI,00H 09' 32''
40,1995,Prologue : Saint-Brieuc > Saint-Brieuc,FEDERICO MUNOZ,KELME-AVIANCA,00H 09' 32''
41,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LAURENT MADOUAS,CASTORAMA,00H 09' 32''
42,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ALESSIO GALETTI,LAMPRE-PANARIA,00H 09' 33''
43,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MARC SERGEANT,LOTTO-ISOGLASS,00H 09' 33''
44,1995,Prologue : Saint-Brieuc > Saint-Brieuc,DAVIDE PERONA,LAMPRE-PANARIA,00H 09' 33''
45,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LANCE ARMSTRONG,MOTOROLA,00H 09' 33''
46,1995,Prologue : Saint-Brieuc > Saint-Brieuc,DIRK BALDINGER,TEAM POLTI,00H 09' 33''
47,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LEONARDO SIERRA,CARRERA-TASSONI,00H 09' 34''
48,1995,Prologue : Saint-Brieuc > Saint-Brieuc,MASSIMO DONATI,MERCATONE UNO-SAECO,00H 09' 34''
49,1995,Prologue : Saint-Brieuc > Saint-Brieuc,UDO BÖLTS,TELECOM-ZG-SELLE ITALIA,00H 09' 34''
50,1995,Prologue : Saint-Brieuc > Saint-Brieuc,DAVIDE CASSANI,MG-TECHNOGYM,00H 09' 34''
51,1995,Prologue : Saint-Brieuc > Saint-Brieuc,WILFRIED PEETERS,MAPEI-GB,00H 09' 34''
52,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JEAN-CYRIL ROBIN,FESTINA WATCHES,00H 09' 35''
53,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JUAN-CÉSAR AGUIRE,KELME-AVIANCA,00H 09' 35''
54,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ARMAND DE LAS CUEVAS,CASTORAMA,00H 09' 36''
55,1995,Prologue : Saint-Brieuc > Saint-Brieuc,JIM VAN DE LAER,TVM-POLIS DIRECT,00H 09' 36''
56,1995,Prologue : Saint-Brieuc > Saint-Brieuc,EDDY SEIGNEUR,GAN,00H 09' 36''
57,1995,Prologue : Saint-Brieuc > Saint-Brieuc,ROSARIO FINA,MERCATONE UNO-SAECO,00H 09' 36''
58,1995,Prologue : Saint-Brieuc > Saint-Brieuc,CLAUDIO CHIAPPUCCI,CARRERA-TASSONI,00H 09' 37''
59,1995,Prologue : Saint-Brieuc > Saint-Brieuc,LARS MICHAELSEN,FESTINA WATCHES,00H 09' 37''
60,1995,Prologue : Saint-Brieuc > Saint-Brieuc,GIANLUCA GORINI,AKI-GIPIEMME,00H 09' 37''
61,1995,Prologue : Saint-Brieuc > Saint-Brieuc,PAVEL TONKOV,LAMPRE-PANARIA,00H 09' 37''
