,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,09 July 1905,-,29.78 km/h,Na,ME - Men Elite,340 km,GT.A.Stage,Na,Na,Na,Na,Paris,Nancy,n/a,515,? - let us know!,Na
1,11 July 1905,-,29.36 km/h,Na,ME - Men Elite,299 km,GT.A.Stage,Na,Na,Na,Na,Nancy,Besançon,n/a,515,? - let us know!,Na
2,18 July 1905,-,25.95 km/h,Na,ME - Men Elite,192 km,GT.A.Stage,Na,Na,Na,Na,Toulon,Nîmes,n/a,515,? - let us know!,Na
3,20 July 1905,-,25.31 km/h,Na,ME - Men Elite,307 km,GT.A.Stage,Na,Na,Na,Na,Nîmes,Toulouse,n/a,515,? - let us know!,Na
4,29 July 1905,-,33.73 km/h,Na,ME - Men Elite,253 km,GT.A.Stage,Na,Na,Na,Na,Caen,Paris,n/a,515,? - let us know!,Na
5,02 July 1904,-,26.31 km/h,Na,ME - Men Elite,467 km,GT.A.Stage,Na,Na,Na,Na,Paris,Lyon,n/a,550,? - let us know!,Na
6,09 July 1904,-,24.686 km/h,Na,ME - Men Elite,374 km,GT.A.Stage,Na,Na,Na,Na,Lyon,Marseille,n/a,550,? - let us know!,Na
7,13 July 1904,-,26.952 km/h,Na,ME - Men Elite,424 km,GT.A.Stage,Na,Na,Na,Na,Marseille,Toulouse,n/a,550,? - let us know!,Na
8,20 July 1904,-,25.252 km/h,Na,ME - Men Elite,425 km,GT.A.Stage,Na,Na,Na,Na,Bordeaux,Nantes,n/a,550,? - let us know!,Na
9,23 July 1904,-,24.2 km/h,Na,ME - Men Elite,471 km,GT.A.Stage,Na,Na,Na,Na,Ville d'Avray,Paris,n/a,550,? - let us know!,Na
10,01 July 1903,-,26.3 km/h,Na,ME - Men Elite,467 km,GT.A.Stage,Na,Na,Na,Na,Montgeron,Lyon,n/a,310,0.2 km solo,Na
11,05 July 1903,-,25.83 km/h,Na,ME - Men Elite,374 km,GT.A.Stage,Na,Na,Na,Na,Lyon,Marseille,n/a,310,Sprint à deux,Na
12,08 July 1903,-,23.61 km/h,Na,ME - Men Elite,423 km,GT.A.Stage,Na,Na,Na,Na,Marseille,Toulouse,n/a,310,? km solo,Na
13,13 July 1903,-,25.849 km/h,Na,ME - Men Elite,425 km,GT.A.Stage,Na,Na,Na,Na,Bordeaux,Nantes,n/a,310,? - let us know!,Na
14,18 July 1903,-,25.95 km/h,Na,ME - Men Elite,471 km,GT.A.Stage,Na,Na,Na,Na,Nantes,Paris,n/a,310,? - let us know!,Na
