,place_name,coordinate_x,coordinate_y
0,Abbeville ,50.10608349942843,1.8337029
1,Achères ,48.960632099702075,2.0698106
2,Acoua ,-12.724324500184663,45.0589372
3,Agde ,43.31347870054157,3.4771629
4,Agen ,44.20158270052466,0.6176112
5,Aire,50.639593699316144,2.4000602
6,Aix,45.68862920038802,5.9146361999999995
7,Albert ,50.0018021994519,2.6509223
8,Albertville ,45.67546220038983,6.392541699999999
9,Albi ,43.92775520053492,2.147899
10,Albina ,5.498482999473295,-54.057453699999996
11,Alençon ,48.431205899833124,0.09113739999999998
12,Alès ,44.12536650052798,4.0852818
13,Alfortville ,48.80516239974066,2.4197113
14,Allauch ,43.33513810054171,5.483268699999999
15,Allonnes ,47.969282999944994,0.1578819
16,Ambarès,44.925901100475144,-0.48818459999999997
17,Ambérieu,45.9584309003489,5.3595099
18,Ambert ,45.55043380040642,3.7426390000000005
19,Amboise ,47.41103510007348,0.983698
0,Amilly ,47.977885299942955,2.7673116999999996
1,Amnéville ,49.26036129962811,6.142073899999999
2,Ancenis ,47.36481410008367,-1.1816088
3,Andrésy ,48.982144499696744,2.0610573
4,Anglet ,43.48139270054197,-1.5149934999999999
5,Angoulême ,45.651274800393104,0.1576745
6,Annemasse ,46.19340050031148,6.234109299999999
7,Annonay ,45.23996390044357,4.667547500000001
8,Antibes ,43.58360000054139,7.10905
9,Antony ,48.75355399975344,2.2959422999999997
10,Anzin ,50.37039659937103,3.5020684
11,Apt ,43.87579360053636,5.3970648
12,Arcachon ,44.653942800497575,-1.1755714
13,Arcueil ,48.80649959974033,2.3366502
14,Argelès,42.549044700520035,3.0300792999999997
15,Argentan ,48.742885899756104,-0.0223695
16,Argenton,46.58868220024185,1.5191029
17,Arles ,43.677622300540314,4.630965299999999
18,Armentières ,50.68672809930696,2.882169
19,Arnouville ,48.98921259969501,2.4202823999999996
0,Arpajon ,48.59028989979389,2.2477303
1,Arras ,50.291047999387914,2.7772210999999998
2,Arsac ,44.99718660046852,-0.6883739
3,Asnières,48.91059479971452,2.2890454
4,Athis,48.70790279976478,2.3890940999999994
5,Aubagne ,43.292438500541394,5.570303099999999
6,Aubenas ,44.62054760050001,4.390239899999999
7,Aubergenville ,48.959139199702456,1.8554319
8,Aubervilliers ,48.914607799713494,2.3821894999999995
9,Aubière ,45.751257500379324,3.1144195
10,Aubusson ,45.95468960034947,2.1672725
11,Auch ,43.64635580054074,0.5850506999999999
12,Auchel ,50.50374919934333,2.4682058999999996
13,Audincourt ,47.48197860005769,6.8413683999999995
14,Aulnay,48.934230999708625,2.499789
15,Aulnoye,50.20025019940762,3.8336383
16,Auray ,47.66644850001583,-2.9833718000000005
17,Aurillac ,44.92854410047491,2.4433101
18,Auriol ,43.368843600541865,5.629861099999999
19,Auterive ,43.352402800541796,1.4775095
0,Autun ,46.95103130017125,4.2989478
1,Auxerre ,47.796128699985815,3.5705789999999995
2,Avallon ,47.48853650005622,3.9070658
3,Avion ,50.412612799362186,2.8343891
4,Avon ,48.40488669983958,2.7207224999999995
5,Avranches ,48.686208499770146,-1.3579476
6,Avrillé ,47.50456570005263,-0.5956539
7,Bagneux ,48.79505599974317,2.3027323
8,Bagnolet ,48.868819899724855,2.4173658
9,Bagnols,44.160481000526495,4.623583099999999
10,Baie,16.267945800055085,-61.5870766
11,Bailleul ,50.739666799296806,2.7349285999999995
12,Balma ,43.61122170054114,1.5057917
13,Bandraboua ,-12.703811600182647,45.12338619999999
14,Bandrélé ,-12.913218400203117,45.194967
15,Barbezieux ,45.470916100416474,-0.1528181
16,Barcelonnette ,44.386204300515146,6.6513554
17,Barentin ,49.54596989955866,0.9522585999999998
18,Bar,48.77126729974906,5.1623805
19,Bar,48.23320469988152,4.7058337
0,Basse,16.000077800024496,-61.733337299999995
1,Bastia ,42.70655050052702,9.452541999999998
2,Bayeux ,49.276462399624165,-0.7024738
3,Bayonne ,43.49333790054192,-1.475099
4,Beaucaire ,43.80854360053798,4.6392648
5,Beaumont ,45.75384770037895,3.0870638
6,Beaune ,47.02390640015635,4.838042599999999
7,Beausoleil ,43.74828100053919,7.4219677
8,Beauvais ,49.43009969958667,2.0823355
9,Bedous ,42.99921910053653,-0.6002255
10,Bègles ,44.8074559004855,-0.5488541999999998
11,Belfort ,47.63795990002239,6.8628942
12,Bellac ,46.12090360032334,1.0502545
13,Belleville,46.10893820032527,4.748655299999999
14,Belley ,45.76075800037799,5.6861466
15,Berck ,50.405257599363715,1.5711616999999998
16,Bergerac ,44.853456800481574,0.487531
17,Bernay ,49.090227799670004,0.5989156999999999
18,Berre,43.475824900541966,5.1673492
19,Béthune ,50.52234379933958,2.6385601
0,Betton ,48.181712199894015,-1.6414898
1,Béziers ,43.34265620054175,3.2131306999999993
2,Bezons ,48.925001599710924,2.2105491
3,Biarritz ,43.48325230054195,-1.5592776
4,Billère ,43.30300440054149,-0.3905556
5,Bitche ,49.050872899679725,7.425457700000001
6,Blagnac ,43.64340000054078,1.37799
7,Blanquefort ,44.90889820047669,-0.6300363
