,Date:,Start time:,Avg. speed winner:,Classification:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vertical meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
0,24 June 1962,-,38.28 km/h,SPP,ME - Men Elite,253 km,GT.A.Stage,Na,Na,Na,Na,Nancy,Spa,n/a,1716,? - let us know!,Na
1,25 June 1962,-,39.95 km/h,SPP,ME - Men Elite,147 km,GT.A.Stage,Na,Na,Na,Na,Spa,Herentals,n/a,1716,Sprint of large group,Na
